# relative frequency (MHz), data intensity (counts), fit residuals (counts), data uncertainty (counts)
3.761463702321052551e+03, 2.590000000000000000e+02, -1.912223242657617561e+01, 1.609347693943108126e+01
3.758242823839187622e+03, 2.260000000000000000e+02, 1.402441178453111092e+01, 1.503329637837290811e+01
3.755021925687789917e+03, 2.280000000000000000e+02, 1.217286595002727267e+01, 1.509966887054149964e+01
3.751800892353057861e+03, 2.510000000000000000e+02, -1.067683453516389136e+01, 1.584297951775485913e+01
3.748579838991165161e+03, 2.180000000000000000e+02, 2.247533565274821399e+01, 1.476482306023340030e+01
3.745358765840530396e+03, 2.300000000000000000e+02, 1.062940774048416870e+01, 1.516575088810310135e+01
3.742137787818908691e+03, 2.330000000000000000e+02, 7.785408020548516106e+00, 1.526433752247374720e+01
3.738916674971580505e+03, 2.200000000000000000e+02, 2.094338019443284793e+01, 1.483239697419132597e+01
3.735695541977882385e+03, 2.650000000000000000e+02, -2.389664800278524126e+01, 1.627882059609970611e+01
3.732474389076232910e+03, 2.460000000000000000e+02, -4.734642621885541303e+00, 1.568438714135812262e+01
3.729253331661224365e+03, 2.290000000000000000e+02, 1.242942510746172502e+01, 1.513274595042155646e+01
3.726032138824462891e+03, 2.360000000000000000e+02, 5.595602374684915503e+00, 1.536229149573721564e+01
3.722810926318168640e+03, 2.360000000000000000e+02, 5.763919512048971683e+00, 1.536229149573721564e+01
3.719589809060096741e+03, 2.430000000000000000e+02, -1.065592628932080288e+00, 1.558845726811989607e+01
3.716368556499481201e+03, 2.640000000000000000e+02, -2.189288407018349858e+01, 1.624807680927192166e+01
3.713147399425506592e+03, 2.480000000000000000e+02, -5.717928588516770105e+00, 1.574801574802362225e+01
3.709926107168197632e+03, 2.540000000000000000e+02, -1.154067421114410763e+01, 1.593737745050922783e+01
3.706704795002937317e+03, 2.180000000000000000e+02, 2.463891315437922458e+01, 1.476482306023340030e+01
3.703483462810516357e+03, 2.600000000000000000e+02, -1.717912528143247641e+01, 1.612451549659709826e+01
3.700262226104736328e+03, 2.300000000000000000e+02, 1.300524594447392701e+01, 1.516575088810310135e+01
3.697040854096412659e+03, 2.760000000000000000e+02, -3.280791690265050420e+01, 1.661324772583614973e+01
3.693819462299346924e+03, 2.410000000000000000e+02, 2.381423630074181119e+00, 1.552417469626002422e+01
3.690598165750503540e+03, 2.180000000000000000e+02, 2.557330565529480282e+01, 1.476482306023340030e+01
3.687376734018325806e+03, 2.130000000000000000e+02, 3.076778892616295025e+01, 1.459451951932642366e+01
3.684155397653579712e+03, 2.490000000000000000e+02, -5.035093406661673043e+00, 1.577973383805949936e+01
3.680933810830116272e+03, 2.500000000000000000e+02, -5.835271891835446922e+00, 1.581138830084189628e+01
3.677712434649467468e+03, 2.390000000000000000e+02, 5.367274117288502566e+00, 1.545962483374030683e+01
3.674490923285484314e+03, 2.380000000000000000e+02, 6.572616599375919577e+00, 1.542724862054151203e+01
3.671269507288932800e+03, 2.260000000000000000e+02, 1.878079240210493595e+01, 1.503329637837290811e+01
3.668047955989837646e+03, 2.470000000000000000e+02, -2.008130825058060509e+00, 1.571623364550171154e+01
3.664826384902000427e+03, 2.260000000000000000e+02, 1.920589347915455392e+01, 1.503329637837290811e+01
3.661604909062385559e+03, 2.330000000000000000e+02, 1.242291275106902049e+01, 1.526433752247374720e+01
3.658383298039436340e+03, 2.250000000000000000e+02, 2.064299905420472214e+01, 1.500000000000000000e+01
